text,quote,reply,retweet,favorit,lang,user_id,conversation_id,username,url
@gibran_tweet Yakin mau dukung CAWAPRES BONEKA ? ､ｭ・・,0,0,0,0,in,1.19E+18,1.72E+18,msobri99,"https://twitter.com/msobri99/status/1722660458346537016"""
@Melihat_Indo Membuat masyarakat ikut sedih dengan ini semua dan menjadi kepercayaan yang di bangun dari dulu menjadi hilang begitu saja Gibran Cawapres Boneka,0,0,0,0,in,1.64E+18,1.72E+18,Kulsum921,"https://twitter.com/Kulsum921/status/1722660061565346016"""
@Melihat_Indo Cacat hukum Jelas ! Demokrasi sdh ternodai oleh ambisi keserakahan Gibran Cawapres Boneka,0,0,0,0,in,1.35E+18,1.72E+18,FaktaNKRI72,"https://twitter.com/FaktaNKRI72/status/1722659859978662031"""
@Gus_Raharjo Dari awal sudah tumpuk tumpuk nih masalahnya gimana ya mas?  Gibran Cawapres Boneka,0,0,0,0,in,1.56E+18,1.72E+18,siviargh,"https://twitter.com/siviargh/status/1722659599772487932"""
@Melihat_Indo Membuat merasa dibohongi semoga tidak ada lagi yang menabrak konstitusi alangkah baik tidak boleh di langgar Gibran Cawapres Boneka,0,0,0,0,in,1.65E+18,1.72E+18,DanisaRahm,"https://twitter.com/DanisaRahm/status/1722659559419035938"""
@Melihat_Indo Jangan sampai kedekatan nya sekarang cuman diperalat bapak pr4bs ya mas Gibran Cawapres Boneka,0,0,0,0,in,1.56E+18,1.72E+18,siviargh,"https://twitter.com/siviargh/status/1722659429936709961"""
@Gus_Raharjo Gibran Cawapres Boneka  Utk seorang yg blm berpengalaman ini smua cm jd ajang coba2 dan lahan titipan masalah dikemudian hari.,0,0,0,0,in,1.35E+18,1.72E+18,FaktaNKRI72,"https://twitter.com/FaktaNKRI72/status/1722659416951148985"""
@ernestprakasa Kalo terkait mas Gibran no komen dulu. Balik lagi ke Pasal 24 C ayat (1) UUD NRI 1945.   Mungkin solusinya dengan mengatur hukum positif yg dlm hal ini membentuk peraturan yang mengubah syarat capres &amp  cawapres. Cuman kan ga bisa instant ya  Tapi gue kurang paham politik sih,0,0,0,0,in,4468078721,1.72E+18,chrysaanths,"https://twitter.com/chrysaanths/status/1722659358918717853"""
Gibran Cawapres Boneka https://t.co/NJqI7PAH8h,0,0,0,1,in,1.70E+18,1.72E+18,adisetiiyono77,"https://twitter.com/adisetiiyono77/status/1722659129179992280"""
@Melihat_Indo Semoga tidak ada lagi kesalahan2 yang terjadi dalam dunia politik ini berharap baik baik saja jangan ada yang melanggar Gibran Cawapres Boneka,0,0,0,0,in,1.70E+18,1.72E+18,sekarh340,"https://twitter.com/sekarh340/status/1722658769103180095"""
@tempodotco @gibran_tweet  cawapres ilegal,0,0,0,0,in,1.70E+18,1.72E+18,alitohari653782,"https://twitter.com/alitohari653782/status/1722658493793173571"""
@Gus_Raharjo Gibran Cawapres Boneka yang gak punya maluu wkwk,0,0,0,0,in,1.60E+18,1.72E+18,lolitaandriani2,"https://twitter.com/lolitaandriani2/status/1722658378667937808"""
@Gus_Raharjo Udah jelas kalau Gibran Cawapres Boneka yang digunakan untuk mengambil kekuasaan,0,0,0,0,in,1.59E+18,1.72E+18,vikahachuu,"https://twitter.com/vikahachuu/status/1722658262477324597"""
@Gus_Raharjo Biasanya boneka itu imut dan bikin senang yaa... Kalau ini kok beda yaa... Gibran Cawapres Boneka....,0,0,0,0,in,7.20E+17,1.72E+18,zlizvyqt3,"https://twitter.com/zlizvyqt3/status/1722658249030398253"""
Maksa mencalonkan Sang Pangeran jadi Cawapres demi apa?  Sampai-sampai Ketum Parpol ketakutan･ｺ  Pengakuan sejumlah ketua umum partai politik perihal kartu truf yang dipegang saat menyinggung pencalonan putra sulung Presiden RI Joko Widodo Gibran Rakabuming Raka sebagai calon窶ｦ https://t.co/H1hyVkxMeD,0,1,0,0,in,435004096,1.72E+18,Aryprasetyo85,"https://twitter.com/Aryprasetyo85/status/1722657976379375944"""
@Gus_Raharjo Sudah banyak sekali masyarakat dari berbagai elemen yang mengkritik Gibran Cawapres Boneka. Masih bangga?,0,0,0,0,in,1.60E+18,1.72E+18,CempakaRamadha1,"https://twitter.com/CempakaRamadha1/status/1722657956922372257"""
@Gus_Raharjo Gibran cawapres boneka cawapres itu pamer sebua argumen dan gagasan bukan pamer sebuah masalah,0,0,0,0,in,1.70E+18,1.72E+18,BeckettJul61228,"https://twitter.com/BeckettJul61228/status/1722657775418069204"""
Cawapres Boneka Gibran Maju Pilpres Survei Litbang Kompas: 607% Responden Sebut Politik Dinasti https://t.co/fEH9H09pAU,0,0,0,0,in,1.56E+18,1.72E+18,Momi_DeLFath,"https://twitter.com/Momi_DeLFath/status/1722657743251935376"""
@Melihat_Indo Saya harap Gibran akan melakukan langkah-langkah konkret untuk membuktikan bahwa dirinya bukan sekedar Cawapres Boneka,0,0,0,0,in,1.72E+18,1.72E+18,cefiakina,"https://twitter.com/cefiakina/status/1722657666001166427"""
@ch_chotimah2 @ganjarpranowo @mohmahfudmd banyak yang bilang Gibran Cawapres Boneka emang iya ya?? pantesaaannn,0,0,0,0,in,1.71E+18,1.72E+18,diannaa595,"https://twitter.com/diannaa595/status/1722657652780699673"""
@Gus_Raharjo Prihatin dan miris lihat Gibran Cawapres Boneka. Kekonyolan politik yang begitu terlihat.,0,0,0,0,in,1.60E+18,1.72E+18,dindaseptia321,"https://twitter.com/dindaseptia321/status/1722657405652418837"""
@Melihat_Indo Mungkin Gibran perlu lebih terbuka tentang visi dan misinya agar nggak dipandang sebagai Cawapres Boneka,0,0,0,0,in,1.72E+18,1.72E+18,derfinorah,"https://twitter.com/derfinorah/status/1722657365294789012"""
@ch_chotimah2 @ganjarpranowo @mohmahfudmd Gibran Cawapres Boneka ya gimana ya,0,0,0,0,in,1.71E+18,1.72E+18,mayaiya112,"https://twitter.com/mayaiya112/status/1722657362996281620"""
Cawapres Boneka Gila Jokowi Ingin Gibran Jadi Cawapres Prabowo? https://t.co/PNFOwFBRUu,0,0,0,0,in,1.70E+18,1.72E+18,rantauku678,"https://twitter.com/rantauku678/status/1722657332616999064"""
@Gus_Raharjo Kalau yang satu ini mah bukan nya membuat Indonesia makin jaya... Tapi makin kacau... Gibran Cawapres Boneka....,0,0,0,0,in,2758744523,1.72E+18,advokvt,"https://twitter.com/advokvt/status/1722657277730316538"""
@ASirru @AriefAM @_yosi_h @hasyimmah @AbdulRochim_ Kalo masalah umur gibran ga bisa cadi cawapres mase.,0,0,0,0,in,253564986,1.72E+18,nunksang,"https://twitter.com/nunksang/status/1722657211326066981"""
*Barisan Pengusaha Pejuang dukung Prabowo Subianto Dan Gibran Rakabuming raka sebagai capres dan cawapres 2024 mendatang apa kata Bobby Nasution ketua umum Barisan Pengusaha Pejuang?*  https://t.co/lfFV0BOB7F,0,0,0,0,in,1.28E+18,1.72E+18,INJnews,"https://twitter.com/INJnews/status/1722657202715123895"""
@Melihat_Indo Sebagai calon Cawapres Gibran harus membuktikan bahwa dia bukan sekadar Boneka,0,0,0,0,in,1.72E+18,1.72E+18,bertyvivie,"https://twitter.com/bertyvivie/status/1722657154270998672"""
@Gus_Raharjo Boneka lucu yang gemesin tapi bisa ngerusak hukum Gibran Cawapres Boneka,0,0,0,0,in,1.60E+18,1.72E+18,KumalaSariInda1,"https://twitter.com/KumalaSariInda1/status/1722657012075614224"""
@PartaiSocmed Tum.. aekali2 kritik gibran sama cak imin. Kita juga pingin tau kelemahan cawapres lainnya,0,0,0,0,in,168930567,1.72E+18,Af1tt,"https://twitter.com/Af1tt/status/1722657001887736122"""
@Gus_Raharjo moral dan etika dilupakan gitu aja sama Gibran Cawapres Boneka demi melenggang ke atas kursi cawapres,0,0,0,0,in,1.65E+18,1.72E+18,AdoraSitania,"https://twitter.com/AdoraSitania/status/1722656667987538098"""
@Gus_Raharjo Lihatlah si Gibran Cawapres Boneka sekadar figur tanpa kekuatan nyata menciptakan ketidakjelasan dalam peran dan tanggung jawab politiknya.,0,0,0,0,in,1.60E+18,1.72E+18,putri_erika12,"https://twitter.com/putri_erika12/status/1722656542569431465"""
@Gus_Raharjo gimana mau percaya sama beliau kalo sikap Gibran Cawapres Boneka ini disetir oleh orang lain,0,0,0,0,in,1.65E+18,1.72E+18,LThalius,"https://twitter.com/LThalius/status/1722656502035648694"""
@Gus_Raharjo Gibran Cawapres Boneka dari hasil supremasi keluarga,0,0,0,0,in,1.70E+18,1.72E+18,ItzayanaCa8445,"https://twitter.com/ItzayanaCa8445/status/1722656446020776339"""
@Melihat_Indo Bolehkah kita mengharap Gibran Cawapres Boneka untuk mundur saja?,0,0,0,0,in,1.70E+18,1.72E+18,PettyTiana48267,"https://twitter.com/PettyTiana48267/status/1722656411702981037"""
@Gus_Raharjo paham kok selagi masih muda pasti ambisinya besar tapi ngga jadi Gibran Cawapres Boneka juga dong,0,0,0,0,in,2183230501,1.72E+18,Hairitasha,"https://twitter.com/Hairitasha/status/1722656351019811269"""
@Melihat_Indo Tidak diragukan lagi cawapres yang dihasilkan oleh near etika yaitu Gibran Cawapres Boneka,0,0,0,0,in,1.70E+18,1.72E+18,choi_keyon71400,"https://twitter.com/choi_keyon71400/status/1722656293968810279"""
@mawakresna @prabowo Setelah Pak prabowo gandeng gibran jadi cawapres aku pikir beliau mungkin akan meneruskan pekerjaan pak jokowi yang belum terselesaikan. Semoga bisa terlaksana,0,0,0,1,in,1.65E+18,1.72E+18,babyciel1995,"https://twitter.com/babyciel1995/status/1722656264193503560"""
@Gus_Raharjo kira kira Gibran Cawapres Boneka ini tau ngga ya akibat dari perbuatannya ini bisa merugikan rakyat juga,0,0,0,0,in,2246869046,1.72E+18,AyeenNooha,"https://twitter.com/AyeenNooha/status/1722656223575863658"""
@Melihat_Indo Partai mahkamah konstitusi sudah menerbitkan satu orang yaitu Gibran Cawapres Boneka boneka,0,0,0,0,in,1.70E+18,1.72E+18,ColemanHun34214,"https://twitter.com/ColemanHun34214/status/1722656136342728896"""
@Gus_Raharjo Pelanggaran kode etik berat dilakukan Ketua MK karena paman Gibran akhirnya Gibran Cawapres Boneka. Sungguh miris sekali,0,0,0,0,in,1.60E+18,1.72E+18,AldiSetiawan24,"https://twitter.com/AldiSetiawan24/status/1722656108953923631"""
@Gus_Raharjo apa ngga malu ya disebut Gibran Cawapres Boneka sama masyarakat karena masalah yang diperbuat,0,0,0,0,in,2184587606,1.72E+18,adelecomel1,"https://twitter.com/adelecomel1/status/1722656101123158309"""
